SL Chemistry ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
10,41,28,60,42,71,,,,,,,,
11,45,,,,,,,,,,,,
12,49,,,,,,,,,,,,
SL French ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,40,15,50,31,61,45,72,"60,61 ",84,72-76 ,93,87-90 ,97
"1,2 ",41,"16,17 ",51,32,62,46,73,"62,63 ",85,77-80 ,94,91-94 ,98
3,42,18,52,"33,34 ",63,"47,48 ",74,"64,65 ",86,81-83 ,95,95-97 ,99
"4,5 ",43,"19,20 ",53,35,64,49,75,66,87,84-86 ,96,98-100 ,100
6,44,21,54,36,65,50,76,67,88,,,,
"7,8 ",45,"22,23 ",55,"37,38 ",66,51,77,68,89,,,,
"9,10 ",46,24,56,39,67,"52,53 ",78,69,90,,,,
11,47,"25,26 ",57,40,68,54,79,770,91,,,,
"12,13 ",48,27,58,"41,42 ",69,55,80,71,92,,,,
14,49,28.29,59,43,70,"56,57 ",81,,,,,,
,,30,60,44,71,58,82,,,,,,
,,,,,,59,83,,,,,,
HL French ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0,40,16,50,31,61,50,72,"63,64 ",84,73-76 ,93,86-90 ,97
"1,2 ",41,"17,18 ",51,"32,33 ",62,51,73,65,85,77-80 ,94,91-94 ,98
"3,4 ",42,19,52,"34,35 ",63,52,74,66,86,81-83 ,95,95-97 ,99
5,43,"20,21 ",53,"36,37 ",64,53,75,67,87,"84,85 ",96,98-100 ,100
"6,7 ",44,22,54,"38,39 ",65,54,76,68,88,,,,
"8,9 ",45,23,55,40,66,55,77,69,89,,,,
10,46,"24,25 ",56,"41,42 ",67,"56,57 ",78,70,90,,,,
"11,12 ",47,26,57,"43,44 ",68,58,79,71,91,,,,
"13,14 ",48,27,58,"45,46 ",69,59,80,72,92,,,,
15,49,"28,29 ",59,"47,48 ",70,60,81,,,,,,
,,30,60,49,71,61,82,,,,,,
,,,,,,62,83,,,,,,
SL Spanish ,,,,,,,,,,,,,
,1,,2,,3,,4,,5,,6,,7
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
0-1 ,40,13-14 ,50,28-29 ,61,42-43 ,72,57-58 ,84,71-74 ,93,85-88 ,97
2-3 ,41,15-16 ,51,30-31 ,62,44-45 ,73,59-60 ,85,75-78 ,94,89-92 ,98
